,Cell,CircularDichroism,Wavelength
0,1,-0.687878,250
1,1,-0.789893,249
2,1,-0.978676,248
3,1,-1.18831,247
4,1,-1.36596,246
5,1,-1.40446,245
6,1,-1.78323,244
7,1,-2.08458,243
8,1,-2.4677,242
9,1,-2.60592,241
10,1,-2.93168,240
11,1,-3.05105,239
12,1,-3.14303,238
13,1,-3.38025,237
14,1,-3.37847,236
15,1,-3.72376,235
16,1,-3.87072,234
17,1,-4.29381,233
18,1,-4.63548,232
19,1,-5.61829,231
20,1,-6.86628,230
21,1,-8.53135,229
22,1,-10.414,228
23,1,-11.7386,227
24,1,-13.5225,226
25,1,-14.7624,225
26,1,-15.981,224
27,1,-17.4704,223
28,1,-18.5816,222
29,1,-19.6302,221
30,1,-20.2953,220
31,1,-20.9682,219
32,1,-21.8026,218
33,1,-22.6219,217
34,1,-23.45,216
35,1,-23.9129,215
36,1,-24.9136,214
37,1,-25.5098,213
38,1,-26.6676,212
39,1,-28.0515,211
40,1,-29.3762,210
41,1,-30.7815,209
42,1,-32.2524,208
43,1,-32.9058,207
44,1,-32.8821,206
45,1,-31.3141,205
46,1,-27.8928,204
47,1,-22.3828,203
48,1,-16.3745,202
49,1,-11.7769,201
50,1,-6.4788,200
51,1,-3.41083,199
52,1,-1.66735,198
53,1,-1.63162,197
54,1,-0.641056,196
55,1,-1.00323,195
56,1,-0.849533,194
57,1,-0.116136,193
58,1,-1.15576,192
59,1,-0.709619,191
60,1,-0.677665,190
