,Cell,CircularDichroism,Wavelength,HV,Absorbance,Voltage,Count,SE
0,"('1',)",[-0.654628],250,[448.608],[0.0956731],[7.96184],[20000.],[0.0812246]
1,"('1',)",[-0.540832],249,[448.608],[0.095323],[8.02507],[20000.],[0.0720056]
2,"('1',)",[-0.787259],248,[448.608],[0.0960409],[8.07111],[20000.],[0.0785025]
3,"('1',)",[-0.868112],247,[447.922],[0.0998247],[7.9917],[20000.],[0.075705]
4,"('1',)",[-0.949129],246,[447.922],[0.0984623],[8.02976],[20000.],[0.0715157]
5,"('1',)",[-1.18668],245,[447.693],[0.0999542],[7.99531],[20000.],[0.0734879]
6,"('1',)",[-1.32031],244,[447.693],[0.10334],[7.98162],[20000.],[0.0782891]
7,"('1',)",[-1.54816],243,[447.693],[0.107411],[7.92889],[20000.],[0.0779707]
8,"('1',)",[-1.53719],242,[448.944],[0.111805],[8.00524],[20000.],[0.0757098]
9,"('1',)",[-1.67345],241,[448.944],[0.117793],[7.8708],[20000.],[0.0831368]
10,"('1',)",[-1.70898],240,[451.385],[0.123975],[7.98629],[20000.],[0.0783172]
11,"('1',)",[-1.78135],239,[451.385],[0.133954],[7.80711],[20000.],[0.0789519]
12,"('1',)",[-1.56255],238,[455.276],[0.147331],[7.94697],[20000.],[0.0846073]
13,"('1',)",[-1.80879],237,[458.893],[0.161704],[7.98645],[20000.],[0.0711863]
14,"('1',)",[-1.76101],236,[462.54],[0.176787],[7.98639],[20000.],[0.0853949]
15,"('1',)",[-1.84866],235,[467.087],[0.198106],[7.93786],[20000.],[0.0841428]
16,"('1',)",[-1.75756],234,[474.136],[0.22083],[8.02773],[20000.],[0.0843353]
17,"('1',)",[-1.85908],233,[480.85],[0.248575],[7.94258],[20000.],[0.095352]
18,"('1',)",[-2.03406],232,[489.441],[0.274046],[7.99949],[20000.],[0.0805706]
19,"('1',)",[-2.75942],231,[497.803],[0.302518],[7.94765],[20000.],[0.0909249]
20,"('1',)",[-3.50047],230,[504.074],[0.328297],[8.0205],[20000.],[0.0937687]
21,"('1',)",[-4.35955],229,[508.255],[0.351536],[7.97602],[20000.],[0.109915]
22,"('1',)",[-5.41039],228,[512.894],[0.371555],[7.98748],[20000.],[0.0931584]
23,"('1',)",[-6.19397],227,[517.227],[0.391581],[8.0131],[20000.],[0.0984768]
24,"('1',)",[-6.9777],226,[520.905],[0.406534],[8.01193],[20000.],[0.116346]
25,"('1',)",[-7.73017],225,[523.285],[0.421072],[7.92306],[20000.],[0.110797]
26,"('1',)",[-8.2825],224,[526.749],[0.432809],[7.98277],[20000.],[0.106989]
27,"('1',)",[-9.38206],223,[528.824],[0.4405],[7.95978],[20000.],[0.105826]
28,"('1',)",[-9.99808],222,[531.235],[0.448958],[7.99926],[20000.],[0.107518]
29,"('1',)",[-10.5188],221,[533.371],[0.456781],[8.00007],[20000.],[0.103221]
30,"('1',)",[-11.2547],220,[534.073],[0.46228],[7.94946],[20000.],[0.111856]
31,"('1',)",[-11.8882],219,[534.073],[0.466033],[7.86298],[20000.],[0.1105]
32,"('1',)",[-12.4379],218,[536.819],[0.471232],[8.00218],[20000.],[0.11029]
33,"('1',)",[-12.9436],217,[537.399],[0.476972],[7.95701],[20000.],[0.118707]
34,"('1',)",[-13.4203],216,[539.734],[0.486375],[7.99918],[20000.],[0.118604]
35,"('1',)",[-13.8972],215,[539.734],[0.495485],[7.85479],[20000.],[0.103391]
36,"('1',)",[-14.0416],214,[543.35],[0.505857],[7.95714],[20000.],[0.118026]
37,"('1',)",[-14.5994],213,[547.241],[0.520638],[7.98755],[20000.],[0.125591]
38,"('1',)",[-14.8583],212,[551.88],[0.538179],[8.00558],[20000.],[0.118702]
39,"('1',)",[-15.0361],211,[556.747],[0.557485],[7.99599],[20000.],[0.131074]
40,"('1',)",[-15.633],210,[562.683],[0.582828],[8.00016],[20000.],[0.121305]
41,"('1',)",[-16.1209],209,[566.101],[0.611833],[7.98234],[20000.],[0.129144]
42,"('1',)",[-16.3991],208,[570.663],[0.647861],[7.92497],[20000.],[0.139907]
43,"('1',)",[-16.1397],207,[576.721],[0.686416],[7.97542],[20000.],[0.156935]
44,"('1',)",[-14.8375],206,[583.008],[0.728204],[7.94474],[20000.],[0.148726]
45,"('1',)",[-13.7995],205,[591.324],[0.771246],[8.01882],[20000.],[0.138595]
46,"('1',)",[-11.4513],204,[599.762],[0.81807],[7.99077],[20000.],[0.141568]
47,"('1',)",[-8.88154],203,[608.276],[0.862381],[7.98756],[20000.],[0.160792]
48,"('1',)",[-6.22075],202,[616.043],[0.900139],[7.96869],[20000.],[0.17289]
49,"('1',)",[-3.82676],201,[621.323],[0.930232],[7.98449],[20000.],[0.158619]
50,"('1',)",[-1.92843],200,[621.323],[0.953671],[7.83207],[20000.],[0.174629]
51,"('1',)",[-1.04155],199,[621.323],[0.967816],[7.86673],[20000.],[0.177675]
52,"('1',)",[0.0161132],198,[621.323],[0.975201],[8.07042],[20000.],[0.151737]
53,"('1',)",[-0.198516],197,[617.661],[0.983569],[8.09527],[20000.],[0.159362]
54,"('1',)",[-0.38295],196,[611.572],[0.986307],[8.01921],[20000.],[0.142923]
55,"('1',)",[-0.0168528],195,[605.865],[0.987251],[8.0328],[20000.],[0.157345]
